 3.00036500e-01 -6.03350426e-02  3.00036500e-01  4.97372924e+00  3.00036500e-01  4.97600884e+00  3.00036500e-01  2.48157258e+00  3.00036500e-01  8.51669780e-02  3.00036500e-01  4.97372882e+00  3.00036500e-01  1.99990910e+00  3.00036500e-01  4.39990320e-05 
 3.00037500e-01 -6.15535338e-02  3.00037500e-01  4.97372924e+00  3.00037500e-01  4.97600884e+00  3.00037500e-01  2.48157271e+00  3.00037500e-01  8.51669780e-02  3.00037500e-01  4.97372882e+00  3.00037500e-01  1.99990910e+00  3.00037500e-01  4.39990320e-05 
 3.00038500e-01 -6.27695627e-02  3.00038500e-01  4.97372924e+00  3.00038500e-01  4.97600884e+00  3.00038500e-01  2.48157283e+00  3.00038500e-01  8.51669780e-02  3.00038500e-01  4.97372882e+00  3.00038500e-01  1.99990910e+00  3.00038500e-01  4.39990320e-05 
 3.00039500e-01 -6.39830812e-02  3.00039500e-01  4.97372924e+00  3.00039500e-01  4.97600884e+00  3.00039500e-01  2.48157296e+00  3.00039500e-01  8.51669780e-02  3.00039500e-01  4.97372882e+00  3.00039500e-01  1.99990910e+00  3.00039500e-01  4.39990320e-05 
 3.00040500e-01 -6.51940415e-02  3.00040500e-01  4.97372924e+00  3.00040500e-01  4.97600884e+00  3.00040500e-01  2.48157309e+00  3.00040500e-01  8.51669780e-02  3.00040500e-01  4.97372882e+00  3.00040500e-01  1.99990910e+00  3.00040500e-01  4.39990320e-05 
 3.00041500e-01 -6.64023957e-02  3.00041500e-01  4.97372924e+00  3.00041500e-01  4.97600884e+00  3.00041500e-01  2.48157322e+00  3.00041500e-01  8.51669780e-02  3.00041500e-01  4.97372882e+00  3.00041500e-01  1.99990910e+00  3.00041500e-01  4.39990320e-05 
 3.00042500e-01 -6.76080961e-02  3.00042500e-01  4.97372924e+00  3.00042500e-01  4.97600884e+00  3.00042500e-01  2.48157334e+00  3.00042500e-01  8.51669780e-02  3.00042500e-01  4.97372882e+00  3.00042500e-01  1.99990910e+00  3.00042500e-01  4.39990320e-05 
 3.00043500e-01 -6.88110952e-02  3.00043500e-01  4.97372924e+00  3.00043500e-01  4.97600884e+00  3.00043500e-01  2.48157347e+00  3.00043500e-01  8.51669780e-02  3.00043500e-01  4.97372882e+00  3.00043500e-01  1.99990910e+00  3.00043500e-01  4.39990320e-05 
 3.00044500e-01 -7.00113454e-02  3.00044500e-01  4.97372924e+00  3.00044500e-01  4.97600884e+00  3.00044500e-01  2.48157360e+00  3.00044500e-01  8.51669780e-02  3.00044500e-01  4.97372882e+00  3.00044500e-01  1.99990910e+00  3.00044500e-01  4.39990320e-05 
 3.00045500e-01 -7.12087994e-02  3.00045500e-01  4.97372924e+00  3.00045500e-01  4.97600884e+00  3.00045500e-01  2.48157372e+00  3.00045500e-01  8.51669780e-02  3.00045500e-01  4.97372882e+00  3.00045500e-01  1.99990910e+00  3.00045500e-01  4.39990320e-05 
